pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-23,92.9,-1.61,5.17,"Nola, Aaron",673548,605400,,swinging_strike,,,,,12,Seiya Suzuki doubles (26) on a line drive to left fielder Brandon Marsh. Mike Tauchman to 3rd.,R,R,R,PHI,CHC,S,,,0,0,2024,-0.89,1.44,0.57,3.31,,,643565.0,2,6,Top,,,,,,,7.62436825702382,-135.1373709793181,-2.1550250430747164,-12.583809106402969,29.635181029746573,-14.264456576446268,3.16,1.47,,,,94.1,2373,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.48,,,,,,,,47,1,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,223,0.0,-0.047,68.5,6.3,,0.047,,5,-5,0.969,0.031,31,29,31,30,3,2,5,1,6,1,1.2,0.89,0.89,21.2
SI,2024-09-23,92.0,-1.6,5.11,"Nola, Aaron",683737,605400,strikeout,called_strike,,,,,2,Michael Busch called out on strikes.,R,L,R,PHI,CHC,S,2.0,,3,2,2024,-1.5,0.56,-0.02,2.95,,,643565.0,1,6,Top,,,,,,,7.385045778032056,-133.7929563661877,-0.8224397670094427,-19.6146441089646,30.62345027920769,-25.522494321994472,3.2,1.59,,,,93.2,2174,7.2,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.32,,0.0,0.0,1.0,0.0,0.0,,46,6,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,230,0.012,-0.306,,,,0.306,,5,-5,0.957,0.043,31,26,31,27,3,2,5,1,6,1,2.15,1.5,-1.5,20.2
FF,2024-09-23,92.3,-1.65,5.16,"Nola, Aaron",683737,605400,,ball,,,,,11,Michael Busch called out on strikes.,R,L,R,PHI,CHC,B,,,2,2,2024,-0.94,1.25,-0.87,3.63,,,643565.0,1,6,Top,,,,,,,4.077084885144565,-134.36728261691616,-0.8206257370576541,-12.256355416910235,29.069373136437935,-17.055558897983097,3.25,1.59,,,,93.5,2307,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.54,,,,,,,,46,5,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,230,0.0,0.077,,,,-0.077,,5,-5,0.957,0.043,31,26,31,27,3,2,5,1,6,1,1.42,0.94,-0.94,21.0
CH,2024-09-23,86.4,-1.68,5.06,"Nola, Aaron",683737,605400,,called_strike,,,,,7,Michael Busch called out on strikes.,R,L,R,PHI,CHC,S,,,2,1,2024,-1.1,0.46,-0.36,1.57,,,643565.0,1,6,Top,,,,,,,5.452007488617811,-125.6869242150761,-3.097214874866589,-12.779660448567409,24.900801953313433,-26.833295465415347,3.25,1.59,,,,87.4,1535,6.9,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.59,,,,,,,,46,4,Changeup,5,0,0,5,0,5,0,5,Standard,Standard,248,0.0,-0.057,,,,0.057,,5,-5,0.957,0.043,31,26,31,27,3,2,5,1,6,1,2.59,1.1,-1.1,17.9
SI,2024-09-23,91.7,-1.67,5.17,"Nola, Aaron",683737,605400,,ball,,,,,12,Michael Busch called out on strikes.,R,L,R,PHI,CHC,B,,,1,1,2024,-1.42,0.69,0.1,3.88,,,643565.0,1,6,Top,,,,,,,7.673507099299101,-133.30235446816127,1.1375160106699589,-18.634502233430343,28.75378229496292,-24.373822855902947,3.32,1.64,,,,92.9,2186,7.1,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.43,,,,,,,,46,3,Sinker,5,0,0,5,0,5,0,5,Standard,Standard,224,0.0,0.046,,,,-0.046,,5,-5,0.957,0.043,31,26,31,27,3,2,5,1,6,1,2.02,1.42,-1.42,19.6
FF,2024-09-23,92.6,-1.57,5.13,"Nola, Aaron",683737,605400,,ball,,,,,11,Michael Busch called out on strikes.,R,L,R,PHI,CHC,B,,,0,1,2024,-1.07,1.28,-0.29,3.8,,,643565.0,1,6,Top,,,,,,,5.6944776999519835,-134.69076894441304,-0.3784644730985497,-14.295165308270812,30.18941107172681,-16.704995791223574,3.3,1.59,,,,93.5,2235,6.9,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.56,,,,,,,,46,2,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,231,0.0,0.029,,,,-0.029,,5,-5,0.957,0.043,31,26,31,27,3,2,5,1,6,1,1.38,1.07,-1.07,20.8
KC,2024-09-23,78.8,-1.68,5.13,"Nola, Aaron",683737,605400,,swinging_strike,,,,,9,Michael Busch called out on strikes.,R,L,R,PHI,CHC,S,,,0,0,2024,1.23,-1.07,0.55,1.47,,,643565.0,1,6,Top,,,,,,,2.5692924332856144,-114.6150448532218,0.9623856366914676,10.187422804880097,23.828963074707147,-41.919162513602,3.09,1.47,,,,78.8,2661,6.6,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.88,,,,,,,,46,1,Knuckle Curve,5,0,0,5,0,5,0,5,Standard,Standard,60,0.0,-0.04,74.2,8.1,,0.04,,5,-5,0.957,0.043,31,26,31,27,3,2,5,1,6,1,4.78,-1.23,1.23,21.1
KC,2024-09-23,78.1,-1.6,5.11,"Nola, Aaron",643565,605400,single,hit_into_play,,,,,7,Mike Tauchman singles on a ground ball to right fielder Nick Castellanos.,R,L,R,PHI,CHC,X,9.0,ground_ball,3,2,2024,1.49,-0.93,-0.35,2.08,,,,1,6,Top,179.71,106.91,,,,,-0.0675626811590384,-113.66127294407777,2.157701643725544,12.85475275636558,23.012347324202572,-40.87293242329092,3.46,1.65,16.0,96.8,-7.0,78.0,2627,6.5,745527,592663,547180,681082,664761,607208,669016,679032,592206,54.05,0.229,0.228,0.9,1.0,1.0,0.0,2.0,45,6,Knuckle Curve,5,0,0,5,0,5,0,5,Standard,Standard,64,-0.011,0.345,71.0,7.6,0.245,-0.345,96.8,5,-5,0.968,0.032,31,33,31,34,3,2,5,1,6,1,4.7,-1.49,1.49,19.4
KC,2024-09-23,78.5,-1.71,5.17,"Nola, Aaron",643565,605400,,called_strike,,,,,4,Mike Tauchman singles on a ground ball to right fielder Nick Castellanos.,R,L,R,PHI,CHC,S,,,3,1,2024,1.27,-0.86,-0.75,2.65,,,,1,6,Top,,,,,,,-0.2717408916167704,-114.3038551880288,3.0585325256874505,11.164430934798432,21.806375770027785,-40.54031670160297,3.54,1.64,,,,79.1,2640,6.7,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.75,,,,,,,,45,5,Knuckle Curve,5,0,0,5,0,5,0,5,Standard,Standard,62,0.0,-0.092,,,,0.092,,5,-5,0.968,0.032,31,33,31,34,3,2,5,1,6,1,4.57,-1.27,1.27,20.2
CH,2024-09-23,86.4,-1.65,5.06,"Nola, Aaron",643565,605400,,ball,,,,,14,Mike Tauchman singles on a ground ball to right fielder Nick Castellanos.,R,L,R,PHI,CHC,B,,,2,1,2024,-1.2,0.09,0.11,1.5,,,,1,6,Top,,,,,,,6.750814102260643,-125.7238442145215,-2.5202346954655614,-14.09601537591251,23.321454847618785,-30.920671424082993,3.64,1.76,,,,87.9,1666,7.1,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.44,,,,,,,,45,4,Changeup,5,0,0,5,0,5,0,5,Standard,Standard,247,0.0,0.122,,,,-0.122,,5,-5,0.968,0.032,31,33,31,34,3,2,5,1,6,1,2.94,1.2,-1.2,17.5
